circumference, длина окружности
chord, хорда
equilateral, равносторонний
isosceles, равнобедренный
obtuse-angled, тупоугольный
acute-angled, остроугольный
preface, предисловие
maintain, поддерживать
discouraged, разочарованный
inclined, предрасположенный; склоненный
stultifying, отупляющий
assume, предполагать
qualitative, качественный
fellow, коллега
merely, просто...
disquietening, тревожный
backbone, позвоночник; основа
concern, бескопойство; тревога
