Composed; Состоящий
Constituents; Составляющие
Slightly; Слегка
Dissolve; Растворять
Extent; Степень
Employ in respiration; Использовать в дыхании
Liquefy; Разжижаться
Crust; Кора
Undisturbed; Безмятежный
Badly spoiled; Сильно испорчен
Wrap; Заворачивать
Deliberately; Намеренно
Silhouette; Силуэт
Nontransparent; Непрозрачный
Nevertheless; Тем не менее
Hence; Следовательно
